epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,218.906,0.58228,0.91768,0.34928,0.40985,1.09103,0.97327,1,0.995,0.92128,0.95579,0.98246,0.98307,0.93909,0.42704,0.52022,0.24495,0.31426,0.90573,0.001439,0.001439,0.001439
19,229.657,0.58233,0.80791,0.33363,0.41584,1.0793,0.96564,1,0.99328,0.91649,0.96564,1,0.99328,0.91114,0.42357,0.56952,0.28392,0.35328,0.93293,0.001406,0.001406,0.001406
20,239.231,0.59672,0.79136,0.31875,0.41504,1.09279,0.99621,1,0.995,0.91138,0.99621,1,0.995,0.93252,0.42397,0.45693,0.2174,0.32097,0.89432,0.001373,0.001373,0.001373
21,249.921,0.55743,0.70825,0.29165,0.38875,1.06385,0.98099,1,0.99448,0.92057,0.98099,1,0.99448,0.95112,0.42571,0.42929,0.18891,0.31036,0.91397,0.00134,0.00134,0.00134
22,260.691,0.56533,0.72362,0.30173,0.38745,1.0724,0.99238,1,0.995,0.93296,0.99238,1,0.995,0.92336,0.38924,0.49497,0.19943,0.30399,0.88551,0.001307,0.001307,0.001307
23,271.593,0.56381,0.64253,0.29034,0.39,1.0681,0.98253,0.98682,0.99483,0.93424,0.98253,0.98682,0.99483,0.94229,0.39389,0.53527,0.21551,0.28569,0.8785,0.001274,0.001274,0.001274
24,282.297,0.55566,0.70322,0.28871,0.38821,1.06342,0.99788,1,0.995,0.9402,0.98037,0.98246,0.98377,0.92621,0.36742,0.46877,0.18259,0.27721,0.88881,0.001241,0.001241,0.001241
25,292.313,0.5383,0.6062,0.27042,0.36878,1.0612,0.99401,1,0.995,0.92918,0.99401,1,0.995,0.95239,0.40185,0.37582,0.16731,0.28454,0.87771,0.001208,0.001208,0.001208
26,303.882,0.51339,0.60179,0.27278,0.35974,1.05471,0.99437,1,0.995,0.91863,0.99437,1,0.995,0.94184,0.40538,0.38286,0.23513,0.28631,0.89168,0.001175,0.001175,0.001175
27,315.356,0.52139,0.63481,0.26207,0.35535,1.04272,0.99889,1,0.995,0.94902,0.99889,1,0.995,0.93913,0.37504,0.35686,0.15825,0.25989,0.84086,0.001142,0.001142,0.001142
28,326.304,0.50643,0.59197,0.2585,0.34976,1.03642,0.99884,1,0.995,0.94335,0.99884,1,0.995,0.94303,0.34512,0.31499,0.15852,0.25051,0.83983,0.001109,0.001109,0.001109
29,337.055,0.52177,0.60211,0.25645,0.35373,1.05672,0.99889,1,0.995,0.9346,0.99889,1,0.995,0.95774,0.38211,0.31912,0.14319,0.25342,0.87692,0.001076,0.001076,0.001076
30,347.572,0.48491,0.57649,0.25924,0.33974,1.01698,0.99886,1,0.995,0.94613,0.99886,1,0.995,0.94732,0.33586,0.37049,0.16325,0.2342,0.81963,0.001043,0.001043,0.001043
31,357.917,0.48802,0.54293,0.23511,0.33191,1.00997,0.99822,1,0.995,0.9309,0.99822,1,0.995,0.94947,0.35994,0.34297,0.13452,0.24619,0.83553,0.00101,0.00101,0.00101
32,368.798,0.4982,0.5727,0.24854,0.34434,1.03458,0.99881,1,0.995,0.95177,0.99881,1,0.995,0.94865,0.34583,0.34293,0.16101,0.2422,0.83154,0.000977,0.000977,0.000977
33,379.677,0.48861,0.52643,0.23931,0.33551,1.00659,0.9829,0.98246,0.99483,0.93857,0.9829,0.98246,0.99483,0.95715,0.36514,0.35228,0.15725,0.24551,0.84798,0.000944,0.000944,0.000944
34,390.559,0.49711,0.53531,0.22461,0.34746,1.02317,0.99895,1,0.995,0.95883,0.99895,1,0.995,0.94664,0.34531,0.3317,0.13795,0.23646,0.81924,0.000911,0.000911,0.000911
35,401.266,0.48401,0.54504,0.23079,0.33491,1.02714,0.99886,1,0.995,0.95078,0.99886,1,0.995,0.96377,0.3267,0.25418,0.13966,0.23556,0.79783,0.000878,0.000878,0.000878
36,411.2,0.4935,0.49426,0.22423,0.33545,1.02563,0.98157,1,0.995,0.93162,0.98157,1,0.995,0.9355,0.3817,0.36117,0.16564,0.25772,0.85244,0.000845,0.000845,0.000845
37,422.103,0.46033,0.48746,0.23123,0.32416,1.0122,0.97727,1,0.995,0.94934,0.97727,1,0.995,0.94488,0.31979,0.268,0.13619,0.23571,0.79331,0.000812,0.000812,0.000812
38,432.878,0.46312,0.47953,0.21589,0.32683,1.01015,0.99888,1,0.995,0.9692,0.99888,1,0.995,0.9521,0.32274,0.27317,0.15446,0.23917,0.80083,0.000779,0.000779,0.000779
39,443.667,0.48006,0.4757,0.21812,0.32738,1.02517,0.99886,1,0.995,0.96681,0.99886,1,0.995,0.95617,0.30606,0.24126,0.11366,0.2126,0.79758,0.000746,0.000746,0.000746
40,454.128,0.44076,0.45208,0.21915,0.3041,0.99119,0.99895,1,0.995,0.96645,0.99895,1,0.995,0.9576,0.31445,0.25898,0.15597,0.22726,0.80917,0.000713,0.000713,0.000713
41,463.996,0.44399,0.40885,0.20813,0.31797,1.00614,0.999,1,0.995,0.97124,0.999,1,0.995,0.95284,0.31372,0.25538,0.1643,0.22328,0.79234,0.00068,0.00068,0.00068
42,474.752,0.43665,0.41528,0.20077,0.3122,0.99949,0.99899,1,0.995,0.95398,0.99899,1,0.995,0.93925,0.3119,0.28732,0.11918,0.21493,0.79334,0.000647,0.000647,0.000647
43,485.412,0.43904,0.43097,0.2056,0.31729,1.00049,0.99885,1,0.995,0.97434,0.99885,1,0.995,0.95676,0.2992,0.22908,0.1334,0.20763,0.79096,0.000614,0.000614,0.000614
44,496.195,0.431,0.43415,0.20963,0.30937,0.99757,0.99896,1,0.995,0.96538,0.99896,1,0.995,0.95925,0.2966,0.26163,0.12887,0.21522,0.78946,0.000581,0.000581,0.000581
45,506.529,0.44601,0.42774,0.20312,0.30367,1.00845,0.99897,1,0.995,0.96913,0.99897,1,0.995,0.94564,0.29551,0.2643,0.1281,0.20586,0.77701,0.000548,0.000548,0.000548
46,516.534,0.42217,0.39682,0.2072,0.3008,1.00643,0.99896,1,0.995,0.96319,0.99896,1,0.995,0.96946,0.30806,0.29094,0.12993,0.22687,0.80984,0.000515,0.000515,0.000515
47,527.39,0.41623,0.41525,0.20939,0.29625,0.98434,0.99902,1,0.995,0.97333,0.99902,1,0.995,0.97435,0.27225,0.30278,0.10695,0.19896,0.77277,0.000482,0.000482,0.000482
48,538.356,0.41155,0.38837,0.20589,0.29172,0.98653,0.99899,1,0.995,0.96661,0.99899,1,0.995,0.96657,0.274,0.27013,0.10269,0.19622,0.76972,0.000449,0.000449,0.000449
49,549.134,0.41102,0.3837,0.19649,0.28906,0.98466,0.99898,1,0.995,0.97435,0.99898,1,0.995,0.96598,0.29023,0.23815,0.10063,0.19685,0.76785,0.000416,0.000416,0.000416
50,559.094,0.40263,0.36922,0.19389,0.27999,0.98577,0.99898,1,0.995,0.97089,0.99898,1,0.995,0.96296,0.27448,0.25969,0.11466,0.18663,0.76479,0.000383,0.000383,0.000383
51,571.442,0.27145,0.22716,0.12837,0.19805,0.91228,0.99895,1,0.995,0.96548,0.99895,1,0.995,0.96773,0.29377,0.25115,0.10715,0.20924,0.78894,0.00035,0.00035,0.00035
52,581.244,0.26882,0.22801,0.12429,0.19228,0.91238,0.99903,1,0.995,0.96837,0.99903,1,0.995,0.96449,0.27981,0.23083,0.10259,0.19648,0.77277,0.000317,0.000317,0.000317
53,591.183,0.2555,0.20266,0.10856,0.18343,0.89952,0.99903,1,0.995,0.97161,0.99903,1,0.995,0.96437,0.2668,0.1892,0.09583,0.18593,0.76248,0.000284,0.000284,0.000284
54,601.123,0.24666,0.17898,0.11046,0.17454,0.88491,0.99903,1,0.995,0.97079,0.99903,1,0.995,0.97191,0.26432,0.17892,0.08543,0.17762,0.75155,0.000251,0.000251,0.000251
55,609.916,0.2359,0.1752,0.09973,0.17529,0.88533,0.99902,1,0.995,0.97125,0.99902,1,0.995,0.96843,0.25818,0.17528,0.09065,0.17082,0.74599,0.000218,0.000218,0.000218
56,619.815,0.22736,0.17285,0.11032,0.16864,0.87776,0.99903,1,0.995,0.97458,0.99903,1,0.995,0.96758,0.24458,0.18238,0.0917,0.17067,0.73822,0.000185,0.000185,0.000185
57,629.954,0.22111,0.16842,0.10023,0.16409,0.86537,0.99905,1,0.995,0.98101,0.99905,1,0.995,0.96457,0.23982,0.18895,0.08838,0.17111,0.73504,0.000152,0.000152,0.000152
58,639.625,0.21569,0.16336,0.09854,0.15743,0.86102,1,1,0.995,0.97914,1,1,0.995,0.95992,0.24214,0.18023,0.08606,0.16544,0.73702,0.000119,0.000119,0.000119
59,648.873,0.21275,0.15381,0.09448,0.1548,0.85957,0.99903,1,0.995,0.97994,0.99903,1,0.995,0.96595,0.23638,0.17502,0.08575,0.16696,0.73029,8.6e-05,8.6e-05,8.6e-05
60,659.018,0.21064,0.15208,0.0976,0.15398,0.8779,0.99905,1,0.995,0.98215,0.99905,1,0.995,0.96682,0.23503,0.17208,0.08631,0.17137,0.72831,5.3e-05,5.3e-05,5.3e-05
