epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2932,0.91697,4.88466,0.69986,0.78298,1.33528,0.96357,0.92982,0.97831,0.84201,0.64423,0.50877,0.44948,0.09082,0.6363,4.63738,0.6206,0.45071,1.18324,0.000649123,0.000649123,0.000649123
2,49.2997,0.84532,3.24812,0.63723,0.60959,1.24396,0.82381,0.91228,0.94885,0.7609,0.79564,0.63158,0.64698,0.35481,0.76997,3.46006,0.62484,0.70191,1.26218,0.00129408,0.00129408,0.00129408
3,60.0575,0.7973,2.65232,0.59294,0.58468,1.20362,0.61861,0.73684,0.64348,0.51637,0.60234,0.68421,0.5599,0.28349,0.75533,2.60283,0.39377,2.4606,1.31908,0.00191704,0.00191704,0.00191704
4,70.2286,0.81148,2.27011,0.54221,0.5875,1.20767,0.96391,0.82456,0.93365,0.77464,0.94186,0.80702,0.86925,0.37036,0.72993,2.74323,0.27569,1.27951,1.24751,0.001901,0.001901,0.001901
5,80.6029,0.74885,1.89604,0.53239,0.53236,1.18908,0.91616,0.91228,0.97503,0.64558,0.91812,0.91228,0.94629,0.37213,1.16398,2.56434,0.34006,1.07603,1.8441,0.001868,0.001868,0.001868
6,91.3657,0.78195,1.64892,0.51889,0.54592,1.19489,0.96474,0.96015,0.99185,0.82438,0.9465,0.93121,0.95772,0.68802,0.68504,1.34458,0.28662,0.57481,1.18825,0.001835,0.001835,0.001835
7,102.946,0.74175,1.41414,0.48692,0.5144,1.19195,0.98976,0.98246,0.99483,0.85069,0.97669,0.96491,0.99279,0.78295,0.64923,1.04821,0.35183,0.56114,1.10296,0.001802,0.001802,0.001802
8,113.853,0.71857,1.34193,0.47541,0.51176,1.1655,1,0.96316,0.99326,0.84414,1,0.96316,0.99326,0.77967,0.6289,1.06128,0.32439,1.03027,1.11463,0.001769,0.001769,0.001769
9,124.627,0.71176,1.29907,0.44947,0.50511,1.15454,0.93255,1,0.98987,0.89604,0.93255,1,0.98987,0.82822,0.52409,0.75128,0.2846,0.46679,0.98804,0.001736,0.001736,0.001736
10,134.211,0.73055,1.22761,0.44468,0.53431,1.17413,0.95536,0.96491,0.98964,0.87044,0.95536,0.96491,0.98964,0.83705,0.65479,0.72116,0.28278,0.53451,1.17106,0.001703,0.001703,0.001703
11,144.964,0.6765,1.06428,0.43135,0.48171,1.14249,0.92232,1,0.99238,0.8616,0.92232,1,0.99238,0.82556,0.55933,0.81989,0.3076,0.47061,1.05489,0.00167,0.00167,0.00167
12,155.714,0.63669,0.98864,0.41799,0.45401,1.10818,0.98164,1,0.995,0.90796,0.98164,1,0.995,0.82504,0.4924,0.69288,0.30371,0.37587,0.97074,0.001637,0.001637,0.001637
13,166.407,0.65386,0.97958,0.39387,0.46576,1.11379,0.99825,1,0.995,0.90432,0.99356,0.98246,0.985,0.88096,0.47231,0.84655,0.29326,0.33792,0.98174,0.001604,0.001604,0.001604
14,177.296,0.66658,0.91915,0.38866,0.4725,1.13092,0.9693,0.98246,0.9938,0.86372,0.9693,0.98246,0.9938,0.8532,0.55452,0.64075,0.27678,0.41155,1.01488,0.001571,0.001571,0.001571
15,186.79,0.6232,0.98714,0.39857,0.44421,1.10265,0.99566,1,0.995,0.92411,0.99566,1,0.995,0.84513,0.42421,0.62044,0.29636,0.34792,0.91922,0.001538,0.001538,0.001538
16,197.451,0.61887,0.87534,0.37879,0.43974,1.1131,0.9688,0.98246,0.9938,0.91598,0.9688,0.98246,0.9938,0.8913,0.4318,0.6646,0.2315,0.38937,0.93493,0.001505,0.001505,0.001505
17,208.138,0.59675,0.80969,0.35674,0.4361,1.08491,0.99293,1,0.995,0.89263,0.97551,0.98246,0.99364,0.89351,0.43921,0.60583,0.23096,0.32505,0.93051,0.001472,0.001472,0.001472
