epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,577.153,0.5497,0.58566,0.22109,0.37766,1.03668,0.9289,1,0.98886,0.87623,0.79106,0.85185,0.7837,0.64279,0.49203,1.0658,0.1476,0.34459,0.90691,0.001076,0.001076,0.001076
30,595.279,0.53731,0.55923,0.22351,0.37803,1.0386,0.99773,1,0.995,0.95016,0.99773,1,0.995,0.84568,0.37534,0.56505,0.2845,0.29201,0.85361,0.001043,0.001043,0.001043
31,614.504,0.52786,0.56723,0.21382,0.37041,1.01914,0.99806,1,0.995,0.9247,0.99806,1,0.995,0.93611,0.42937,0.37248,0.14234,0.29528,0.91485,0.00101,0.00101,0.00101
32,632.394,0.50952,0.49931,0.21152,0.36492,1.01561,0.99806,1,0.995,0.92309,0.99806,1,0.995,0.94137,0.44444,0.32466,0.13785,0.28435,0.88604,0.000977,0.000977,0.000977
33,650.62,0.5052,0.45063,0.20536,0.35632,1.02067,0.99839,1,0.995,0.91806,0.99839,1,0.995,0.89108,0.40544,0.38902,0.13464,0.28315,0.87414,0.000944,0.000944,0.000944
34,669.255,0.50349,0.45252,0.20095,0.34913,1.00696,0.99811,1,0.995,0.93563,0.99811,1,0.995,0.9585,0.40247,0.30317,0.12953,0.27951,0.87617,0.000911,0.000911,0.000911
35,687.345,0.52482,0.49032,0.19875,0.36738,1.01327,0.99841,1,0.995,0.91968,0.88734,0.88889,0.84004,0.71463,0.4133,0.72656,0.12887,0.29445,0.90274,0.000878,0.000878,0.000878
36,706.668,0.5,0.44164,0.19027,0.35271,1.007,0.99838,1,0.995,0.92837,0.99838,1,0.995,0.88408,0.39428,0.34492,0.15348,0.31036,0.85412,0.000845,0.000845,0.000845
37,724.272,0.4711,0.43366,0.1913,0.34045,0.99425,1,1,0.995,0.93965,1,1,0.995,0.77083,0.364,0.50287,0.14417,0.2734,0.82127,0.000812,0.000812,0.000812
38,742.434,0.47276,0.43018,0.18492,0.33592,1.00424,0.99819,1,0.995,0.92031,0.99819,1,0.995,0.90334,0.4108,0.38389,0.11698,0.28584,0.84668,0.000779,0.000779,0.000779
39,762.145,0.46326,0.40021,0.19087,0.32477,0.99172,0.99815,1,0.995,0.9391,0.99815,1,0.995,0.95164,0.41635,0.28731,0.11464,0.27685,0.87278,0.000746,0.000746,0.000746
40,780.35,0.45742,0.40602,0.18401,0.31877,0.9865,0.99813,1,0.995,0.94429,0.99813,1,0.995,0.95463,0.36778,0.31233,0.13537,0.25585,0.83004,0.000713,0.000713,0.000713
41,799.416,0.45079,0.40726,0.18101,0.32109,0.9917,0.99813,1,0.995,0.94169,0.99813,1,0.995,0.91473,0.35846,0.29338,0.12611,0.25467,0.83579,0.00068,0.00068,0.00068
42,818.096,0.46205,0.36436,0.18018,0.321,0.99076,0.99795,1,0.995,0.94851,0.99795,1,0.995,0.92937,0.38671,0.36816,0.11193,0.2832,0.8414,0.000647,0.000647,0.000647
43,836.29,0.45645,0.39422,0.18412,0.32153,0.98683,0.99799,1,0.995,0.93683,0.99799,1,0.995,0.91373,0.39069,0.3965,0.13992,0.2692,0.84177,0.000614,0.000614,0.000614
44,855.301,0.45984,0.36704,0.17835,0.32241,0.99257,0.99827,1,0.995,0.9168,0.99827,1,0.995,0.88998,0.38844,0.39528,0.10902,0.28683,0.86064,0.000581,0.000581,0.000581
45,873.216,0.4406,0.35763,0.17164,0.31075,0.97625,0.99809,1,0.995,0.93374,0.99809,1,0.995,0.97129,0.41469,0.24742,0.12065,0.24813,0.86194,0.000548,0.000548,0.000548
46,891.114,0.43517,0.35171,0.17669,0.30195,0.98662,0.99814,1,0.995,0.94279,0.99814,1,0.995,0.94643,0.35252,0.27145,0.10335,0.24718,0.82714,0.000515,0.000515,0.000515
47,909.93,0.41356,0.33967,0.16639,0.30314,0.96896,0.99792,1,0.995,0.95707,0.99792,1,0.995,0.90997,0.3406,0.305,0.13496,0.22645,0.81204,0.000482,0.000482,0.000482
48,927.648,0.41203,0.35934,0.17373,0.29311,0.96552,1,1,0.995,0.96546,1,1,0.995,0.93915,0.32824,0.27978,0.12608,0.22141,0.80463,0.000449,0.000449,0.000449
49,945.389,0.41452,0.33813,0.16673,0.29358,0.96556,0.99818,1,0.995,0.96382,0.99818,1,0.995,0.94163,0.34179,0.24129,0.11197,0.24002,0.80359,0.000416,0.000416,0.000416
50,964.207,0.40466,0.34209,0.17113,0.28486,0.96956,0.99822,1,0.995,0.9498,0.99822,1,0.995,0.93579,0.38777,0.2892,0.1086,0.2486,0.84219,0.000383,0.000383,0.000383
51,983.377,0.27496,0.24186,0.09153,0.1954,0.88386,0.9982,1,0.995,0.94446,0.9982,1,0.995,0.90254,0.33656,0.32628,0.10071,0.23874,0.79787,0.00035,0.00035,0.00035
52,1000.12,0.27084,0.22968,0.08109,0.18951,0.88436,0.99814,1,0.995,0.93673,0.99814,1,0.995,0.97501,0.36411,0.22677,0.09986,0.25582,0.81628,0.000317,0.000317,0.000317
53,1016.85,0.25385,0.22562,0.08069,0.17735,0.87686,0.99822,1,0.995,0.93226,0.99822,1,0.995,0.93567,0.38444,0.26979,0.08752,0.23704,0.84701,0.000284,0.000284,0.000284
54,1032.91,0.24426,0.20923,0.07395,0.17568,0.86627,0.99816,1,0.995,0.94066,0.99816,1,0.995,0.97536,0.36651,0.22379,0.0911,0.23226,0.81917,0.000251,0.000251,0.000251
55,1048.98,0.23899,0.20567,0.0735,0.17589,0.85738,0.99819,1,0.995,0.97079,0.99819,1,0.995,0.9836,0.34564,0.20404,0.08638,0.22143,0.78947,0.000218,0.000218,0.000218
56,1065,0.23778,0.19805,0.07104,0.17039,0.8703,0.99816,1,0.995,0.96462,0.99816,1,0.995,0.98078,0.34663,0.16925,0.09208,0.21096,0.80376,0.000185,0.000185,0.000185
57,1082.22,0.22169,0.19173,0.07008,0.16093,0.85363,0.99816,1,0.995,0.94937,0.99816,1,0.995,0.98387,0.35176,0.17552,0.09096,0.20058,0.80928,0.000152,0.000152,0.000152
58,1098.31,0.2205,0.19068,0.07283,0.16105,0.86205,0.99817,1,0.995,0.95081,0.99817,1,0.995,0.98715,0.33068,0.14804,0.0853,0.1966,0.79335,0.000119,0.000119,0.000119
59,1114.21,0.2112,0.1744,0.06477,0.15158,0.85424,0.99812,1,0.995,0.94518,0.99812,1,0.995,0.995,0.32898,0.13721,0.08467,0.20073,0.79385,8.6e-05,8.6e-05,8.6e-05
60,1130.13,0.21433,0.1786,0.06671,0.15356,0.84725,0.99811,1,0.995,0.96004,0.99811,1,0.995,0.98731,0.32202,0.14176,0.08529,0.19036,0.78993,5.3e-05,5.3e-05,5.3e-05
