epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,559.713,0.50024,0.40266,0.20697,0.36011,1.01533,0.99679,1,0.995,0.94917,0.99679,1,0.995,0.97108,0.33573,0.24096,0.10421,0.25705,0.83938,0.001076,0.001076,0.001076
30,578.446,0.47247,0.38039,0.20226,0.33619,0.99664,0.99933,1,0.995,0.95465,0.99933,1,0.995,0.97432,0.31743,0.21545,0.10246,0.21026,0.81925,0.001043,0.001043,0.001043
31,596.075,0.46739,0.38513,0.19786,0.3297,0.98872,0.99932,1,0.995,0.95128,0.99932,1,0.995,0.95268,0.33512,0.24661,0.07446,0.22752,0.83489,0.00101,0.00101,0.00101
32,614.42,0.475,0.36027,0.19402,0.33814,0.99915,0.99927,1,0.995,0.95059,0.99927,1,0.995,0.97471,0.32025,0.20347,0.09322,0.22322,0.82927,0.000977,0.000977,0.000977
33,632.374,0.45199,0.3849,0.19404,0.33094,0.98021,0.99821,1,0.995,0.95455,0.99821,1,0.995,0.97923,0.31907,0.21545,0.08836,0.22452,0.82959,0.000944,0.000944,0.000944
34,649.995,0.46329,0.34161,0.18409,0.32411,0.99157,0.99928,1,0.995,0.95883,0.99928,1,0.995,0.97801,0.3001,0.22957,0.09527,0.21513,0.81221,0.000911,0.000911,0.000911
35,668.26,0.46994,0.34266,0.17788,0.32896,0.99165,0.99933,1,0.995,0.9612,0.99933,1,0.995,0.97079,0.30315,0.19431,0.09672,0.21314,0.79666,0.000878,0.000878,0.000878
36,686.838,0.43315,0.33888,0.19554,0.30974,0.97231,0.99926,1,0.995,0.97573,0.99926,1,0.995,0.98015,0.28532,0.17415,0.0987,0.2028,0.79637,0.000845,0.000845,0.000845
37,704.752,0.42699,0.32075,0.17712,0.29888,0.96331,0.99936,1,0.995,0.96955,0.99936,1,0.995,0.97321,0.29226,0.18668,0.08196,0.2147,0.80853,0.000812,0.000812,0.000812
38,723.303,0.42726,0.31051,0.18312,0.30821,0.97224,0.99924,1,0.995,0.96522,0.99924,1,0.995,0.96459,0.29614,0.20577,0.08208,0.21445,0.79775,0.000779,0.000779,0.000779
39,741.776,0.42937,0.30184,0.17896,0.30757,0.97836,0.99624,1,0.995,0.96598,0.99624,1,0.995,0.96969,0.29182,0.18628,0.089,0.21162,0.80611,0.000746,0.000746,0.000746
40,759.752,0.42521,0.31136,0.18317,0.31083,0.96547,0.99926,1,0.995,0.96661,0.99926,1,0.995,0.97573,0.28749,0.17957,0.06568,0.19553,0.79351,0.000713,0.000713,0.000713
